Epoch, Score
0, 0
1, 0
2, 0
3, 0
4, 0
5, 2
6, 5
7, 0
8, 0
9, 2
10, 1
11, 0
12, 1
13, 1
14, 1
15, 1
16, 2
17, 3
18, 3
19, 2
20, 3
21, 26
22, 13
23, 0
24, 11
25, 22
26, 2
27, 24
28, 0
29, 19
30, 3
31, 0
32, 35
33, 59
34, 3
35, 1
36, 40
37, 0
38, 0
39, 0
40, 0
41, 0
42, 3
43, 0
44, 15
45, 8
46, 27
47, 1
48, 13
49, 19
50, 1
51, 10
52, 17
53, 25
54, 2
55, 13
56, 0
57, 1
58, 0
59, 0
60, 24
61, 5
62, 36
63, 2
64, 62
65, 0
66, 33
67, 0
68, 1
69, 38
70, 0
71, 7
72, 1
73, 10
74, 1
75, 11
76, 16
77, 0
78, 1
79, 2
80, 1
81, 1
82, 19
83, 2
84, 16
85, 23
86, 5
87, 2
88, 1
89, 1
90, 0
91, 0
92, 1
93, 0
94, 0
95, 5
96, 4
97, 0
98, 0
99, 6
100, 0
101, 2
102, 1
103, 0
104, 0
105, 0
106, 2
107, 15
108, 1
109, 0
110, 1
111, 2
112, 0
113, 1
114, 0
115, 1
116, 0
117, 3
118, 14
119, 2
120, 0
121, 0
122, 0
123, 4
124, 4
125, 0
126, 0
127, 3
128, 0
129, 2
130, 15
131, 15
132, 0
133, 0
134, 3
135, 0
136, 1
137, 0
138, 0
139, 0
140, 0
141, 28
142, 9
143, 30
144, 19
145, 11
146, 1
147, 10
148, 3
149, 0
150, 3
151, 0
152, 0
153, 0
154, 5
155, 1
156, 3
157, 3
158, 1
159, 25
160, 1
161, 1
162, 1
163, 3
164, 45
165, 1
166, 8
167, 167
168, 1
169, 3
170, 28
171, 2
172, 10
173, 89
174, 1
175, 2
176, 13
177, 6
178, 0
179, 2
180, 40
181, 8
182, 38
183, 1
184, 23
185, 38
186, 91
187, 75
188, 35
189, 0
190, 10
191, 22
192, 0
193, 1
194, 1
195, 15
196, 75
197, 0
198, 17
199, 6
200, 0
201, 3
202, 0
203, 0
204, 0
205, 27
206, 21
207, 1
208, 4
209, 20
210, 1
211, 2
212, 0
213, 52
214, 0
215, 19
216, 0
217, 0
218, 13
219, 47
220, 66
221, 0
222, 0
223, 1
224, 0
225, 42
226, 11
227, 3
228, 0
229, 68
230, 0
231, 16
232, 86
233, 1
234, 0
235, 93
236, 0
237, 40
238, 3
239, 62
240, 0
241, 0
242, 65
243, 3
244, 1
245, 104
246, 0
247, 49
248, 3
249, 1
250, 58
251, 0
252, 0
253, 0
254, 0
255, 0
256, 4
257, 0
258, 3
259, 1
260, 2
261, 29
262, 0
263, 2
264, 1
265, 9
266, 1
267, 22
268, 7
269, 0
270, 0
271, 12
272, 14
273, 21
274, 2
275, 22
276, 55
277, 63
278, 58
279, 27
280, 1
281, 0
282, 10
283, 0
284, 9
285, 0
286, 0
287, 17
288, 0
289, 21
290, 44
291, 0
292, 9
293, 1
294, 227
295, 25
296, 0
297, 0
298, 14
299, 3
300, 64
301, 51
302, 93
303, 29
304, 1
305, 58
306, 25
307, 115
308, 24
309, 1
310, 2
311, 172
312, 1
313, 19
314, 155
315, 63
316, 2
317, 0
318, 2
319, 1
320, 0
321, 0
322, 164
323, 66
324, 16
325, 48
326, 1
327, 0
328, 7
329, 3
330, 22
331, 48
332, 0
333, 42
334, 0
335, 1
336, 1
337, 0
338, 0
339, 0
340, 47
341, 0
342, 54
343, 45
344, 24
345, 64
346, 103
347, 0
348, 18
349, 67
350, 3
351, 3
352, 62
353, 94
354, 24
355, 0
356, 93
357, 0
358, 1
359, 0
360, 0
361, 0
362, 2
363, 0
364, 133
365, 1
366, 0
367, 2
368, 2
369, 0
370, 2
371, 2
372, 0
373, 1
374, 0
375, 160
376, 134
377, 74
378, 0
379, 12
380, 5
381, 57
382, 0
383, 7
384, 2
385, 139
386, 63
387, 2
388, 183
389, 0
390, 70
391, 2
392, 24
393, 2
394, 12
395, 0
396, 0
397, 1
398, 1
399, 1
400, 0
401, 0
402, 69
403, 15
404, 3
405, 12
406, 2
407, 2
408, 67
409, 0
410, 0
411, 0
412, 0
413, 177
414, 1
415, 0
416, 225
417, 96
418, 6
419, 1
420, 68
421, 23
422, 121
423, 0
424, 0
